simulation_id,timestamp,node_id,x,y,speed,battery_level,cpu_usage,memory_usage,signal_strength,packet_loss,latency,active,faulty,fault_type
28,0,1,753.1296854,721.4943256,5.237067198,100,3.75771108,0.274954329,9.836764869,0.901632351,62.19504172,TRUE,FALSE,NORMAL
28,0,2,92.57902798,472.439189,9.36120287,100,3.831674719,2.469340512,30.93999563,0.690600044,45.42609337,TRUE,FALSE,NORMAL
28,0,3,78.69654987,393.9924896,4.642679434,100,0,0.110229489,24.85246851,0.751475315,50.24565309,TRUE,FALSE,NORMAL
28,0,4,144.0854056,83.11282625,6.754056582,100,0,0,0,0,0,TRUE,FALSE,NORMAL
28,0,5,887.1928157,858.4146012,1.323406959,100,1.140075831,0.690057228,18.32209618,0.816779038,55.42019462,TRUE,FALSE,NORMAL
28,0,6,732.2607004,429.3265813,4.318949381,100,0,0,1.351433554,0.986485664,68.96988882,TRUE,FALSE,NORMAL
28,0,7,43.97267815,491.9804055,2.77049821,100,1.788571896,0,27.43578552,0.725642145,48.21186287,TRUE,FALSE,NORMAL
28,0,8,137.3953909,807.2652148,4.088166655,100,2.078730909,0,3.291244771,0.967087552,67.42013629,TRUE,FALSE,NORMAL
28,0,9,290.9146385,571.532172,4.778239817,100,0,0.151282705,6.895238223,0.931047618,64.54183335,TRUE,FALSE,NORMAL
28,0,10,989.1062793,235.117421,1.121617474,100,0,0.733160445,0,0,0,TRUE,FALSE,NORMAL
28,1,1,748.5946881,724.1136141,5.237067198,100,4.843013705,0,9.189012013,0.90810988,62.71235441,TRUE,FALSE,NORMAL
28,1,2,94.87237194,463.3632486,9.36120287,100,3.544137045,2.490648128,30.94222419,0.690577758,45.41787679,TRUE,FALSE,NORMAL
28,1,3,75.35604985,390.7682793,4.642679434,100,0,0,25.07856334,0.749214367,50.06816806,TRUE,FALSE,NORMAL
28,1,4,139.6023492,78.06114476,6.754056582,100,0,0,0,0,0,TRUE,FALSE,NORMAL
28,1,5,886.8423733,859.6907658,1.323406959,100,0,2.714254291,17.98479309,0.820152069,55.68923381,TRUE,FALSE,NORMAL
28,1,6,729.4019429,426.0891704,4.318949381,100,2.053813093,0,0.39323094,0.996067691,69.73547502,TRUE,FALSE,NORMAL
28,1,7,42.1498894,489.8939967,2.77049821,100,6.06598302,1.617835899,27.13215099,0.72867849,48.44433326,TRUE,FALSE,NORMAL
28,1,8,133.415852,806.3290652,4.088166655,100,0,2.276194004,3.187832921,0.968121671,67.50274969,TRUE,FALSE,NORMAL
28,1,9,286.5425731,569.6043181,4.778239817,100,0,0,7.0745522,0.929254478,64.39867987,TRUE,FALSE,NORMAL
28,1,10,988.2814315,234.3573869,1.121617474,100,3.435357278,1.497452796,0,0,0,TRUE,FALSE,NORMAL
28,2,1,743.5000294,722.9006323,5.237067198,100,2.091943402,0,9.100813835,0.908991862,62.7823087,TRUE,FALSE,NORMAL
28,2,2,91.50745583,454.6277201,9.36120287,100,1.671092277,2.923868427,30.85744895,0.69142551,45.48966559,TRUE,FALSE,NORMAL
28,2,3,71.4340357,388.2838725,4.642679434,100,3.185214592,0.5440659,25.20415161,0.747958484,49.97339795,TRUE,FALSE,NORMAL
28,2,4,132.8587189,77.68600448,6.754056582,100,0,0.376666114,0,0,0,TRUE,FALSE,NORMAL
28,2,5,886.1223357,860.8011495,1.323406959,100,0.1716328,4.941255862,17.18615301,0.82813847,56.32630791,TRUE,FALSE,NORMAL
28,2,6,725.8250977,428.5098113,4.318949381,100,5.949949144,0,1.015474661,0.989845253,69.23830949,TRUE,FALSE,NORMAL
28,2,7,41.58283943,487.1821496,2.77049821,100,6.453760732,1.008008562,27.15729421,0.728427058,48.42396902,TRUE,FALSE,NORMAL
28,2,8,133.1396009,810.4078875,4.088166655,100,0,0.051517865,3.387828099,0.966121719,67.3429785,TRUE,FALSE,NORMAL
28,2,9,283.8915557,573.5797027,4.778239817,100,3.988510048,0,6.605042695,0.933949573,64.77355811,TRUE,FALSE,NORMAL
28,2,10,988.0708722,233.2557107,1.121617474,100,2.743132747,3.357646191,0,0,0,TRUE,FALSE,NORMAL
28,3,1,743.3878538,717.6647666,5.237067198,100,5.327798368,0,9.454444394,0.905455556,62.49930898,TRUE,FALSE,NORMAL
28,3,2,82.47339506,452.1745864,9.36120287,100,0,3.70753628,31.03741669,0.689625833,45.35936347,TRUE,FALSE,NORMAL
28,3,3,75.59393112,390.3453628,4.642679434,100,7.330313731,1.154286228,25.95953816,0.740404618,49.37776548,TRUE,FALSE,NORMAL
28,3,4,135.9660225,83.68283235,6.754056582,100,0,2.183611417,0,0,0,TRUE,FALSE,NORMAL
28,3,5,887.3913686,861.1765976,1.323406959,100,0,2.766185246,16.36067492,0.836393251,56.98487994,TRUE,FALSE,NORMAL
28,3,6,724.2900445,432.5467576,4.318949381,100,7.320978829,0,2.548213869,0.974517861,68.01373802,TRUE,FALSE,NORMAL
28,3,7,39.01613196,486.1392339,2.77049821,100,2.894469535,0.299643476,27.2550982,0.727449018,48.3523274,TRUE,FALSE,NORMAL
28,3,8,129.1193097,811.1497535,4.088166655,100,0,0.367030753,2.120158785,0.978798412,68.3557194,TRUE,FALSE,NORMAL
28,3,9,286.4365322,569.5356119,4.778239817,100,4.702555937,0,5.962435252,0.940375647,65.28669322,TRUE,FALSE,NORMAL
28,3,10,988.8567792,234.0559456,1.121617474,100,4.64944101,2.766203417,0,0,0,TRUE,FALSE,NORMAL
28,4,1,741.190222,712.9111062,5.237067198,100,1.01078241,0,9.811221776,0.901887782,62.21399028,TRUE,FALSE,NORMAL
28,4,2,88.9923507,445.4563026,9.36120287,100,0,1.425012046,31.00311332,0.689968867,45.38117441,TRUE,FALSE,NORMAL
28,4,3,78.69678957,386.8918513,4.642679434,100,11.37921606,0.222010069,26.08739363,0.739126064,49.27840988,TRUE,FALSE,NORMAL
28,4,4,140.0620406,78.31255156,6.754056582,100,0.757983061,0,0,0,0,TRUE,FALSE,NORMAL
28,4,5,886.5141157,860.1857226,1.323406959,100,1.872378925,0,15.75666534,0.842433347,57.46681676,TRUE,FALSE,NORMAL
28,4,6,727.563327,435.364371,4.318949381,100,3.636041588,0,3.865778215,0.961342218,66.9611638,TRUE,FALSE,NORMAL
28,4,7,40.27922501,483.6734163,2.77049821,100,7.508814973,0.150318537,26.92311469,0.730768853,48.60783729,TRUE,FALSE,NORMAL
28,4,8,126.0295184,808.4727596,4.088166655,100,3.35728801,0,2.965919653,0.970340803,67.6800329,TRUE,FALSE,NORMAL
28,4,9,282.6518879,572.452467,4.778239817,100,5.845655322,0,6.495189391,0.935048106,64.86118656,TRUE,FALSE,NORMAL
28,4,10,987.74566,234.2090467,1.121617474,100,0,5.480352296,0,0,0,TRUE,FALSE,NORMAL
28,5,1,736.1205699,714.2246891,5.237067198,100,0,0,9.799852526,0.902001475,62.2229705,TRUE,FALSE,NORMAL
28,5,2,87.66468143,436.1897276,9.36120287,100,3.763646685,0.375750462,30.66435519,0.693356448,45.65450583,TRUE,FALSE,NORMAL
28,5,3,76.45716986,382.8250865,4.642679434,100,12.56629491,0.315371435,25.89011318,0.741098868,49.44203374,TRUE,FALSE,NORMAL
28,5,4,146.702901,77.08118897,6.754056582,100,2.948000223,0,0,0,0,TRUE,FALSE,NORMAL
28,5,5,885.4922309,859.3447961,1.323406959,100,5.072187489,0.808927038,15.52913423,0.844708658,57.64837418,TRUE,FALSE,NORMAL
28,5,6,731.2522717,437.6104811,4.318949381,100,4.895801308,2.142159912,4.070570824,0.959294292,66.79756682,TRUE,FALSE,NORMAL
