simulation_id,timestamp,node_id,cpu,memory,battery,rssi,packet_loss,latency,throughput,queue_size,traffic_load,link_quality,mobility_speed,anomaly_status,anomaly_score,anomaly_flag
35,0,1,4.998648,0.0,100.0,24.086601,0.759134,50.825431,0.0,0,0.0,0.240866,1.760948,Normal,-0.10178290072377877,0
35,0,2,1.35725,0.0,100.0,16.559666,0.834403,56.826384,0.0,0,0.0,0.165597,4.414506,Normal,-0.14846579177280794,0
35,0,3,1.11798,0.0,100.0,8.870203,0.911298,62.964943,0.0,0,0.0,0.088702,3.953289,Normal,-0.09939113753369527,0
35,0,4,0.0,0.670392,100.0,10.807469,0.891925,61.417205,0.0,0,481.0,0.108075,6.030497,Normal,-0.11891090982518887,0
35,0,5,1.673204,2.894786,100.0,18.655579,0.813444,55.155487,0.0,1,459.0,0.186556,9.434349,Normal,-0.11265382040561756,0
35,0,6,0.616801,0.0,100.0,23.823261,0.761767,51.046684,0.0,0,0.0,0.238233,6.511675,Normal,-0.09997252853292066,0
35,0,7,0.0,0.0,100.0,17.743906,0.822561,55.901248,0.0,0,0.0,0.177439,8.286927,Normal,-0.12285762317173987,0
35,0,8,0.0,0.35999,100.0,14.258196,0.857418,58.664026,0.0,0,0.0,0.142582,9.902659,Normal,-0.12167278819977617,0
35,0,9,3.330768,2.147787,100.0,15.948218,0.840518,57.314012,0.0,1,1401.0,0.159482,1.194532,Normal,-0.10900761079697424,0
35,0,10,0.587625,0.0,100.0,10.807469,0.891925,61.417205,0.0,0,1982.0,0.108075,3.679274,Normal,-0.06861707324696403,0
35,1,1,4.442957,1.314294,100.0,23.675699,0.763243,51.152718,0.0,0,0.0,0.236757,1.760948,Normal,-0.10650991186653497,0
35,1,2,0.0,2.761907,100.0,16.868391,0.831316,56.579918,1.0,2,1230.0,0.168684,4.414506,Normal,-0.08617541599081435,0
35,1,3,0.0,0.0,100.0,8.872905,0.911271,62.962804,0.0,0,0.0,0.088729,3.953289,Normal,-0.09735462212944063,0
35,1,4,0.333502,1.639717,100.0,11.473372,0.885266,60.885558,0.0,0,0.0,0.114734,6.030497,Normal,-0.13982863913595478,0
35,1,5,0.0,0.651761,100.0,18.37372,0.816263,55.380171,1.0,0,0.0,0.183737,9.434349,Normal,-0.0910153576801474,0
35,1,6,0.0,1.64469,100.0,24.039182,0.759608,50.879686,0.0,0,1170.0,0.240392,6.511675,Normal,-0.06758020665056769,0
35,1,7,0.0,0.062961,100.0,18.051596,0.819484,55.661432,0.0,0,0.0,0.180516,8.286927,Normal,-0.12073346276428432,0
35,1,8,0.0,0.407543,100.0,15.002786,0.849972,58.069141,0.0,0,0.0,0.150028,9.902659,Normal,-0.1261346374120108,0
35,1,9,0.0,4.132782,100.0,15.77492,0.842251,57.452254,0.0,2,1975.0,0.157749,1.194532,Normal,-0.062259448924634364,0
35,1,10,0.5797,0.0,100.0,11.473372,0.885266,60.885558,0.0,0,0.0,0.114734,3.679274,Normal,-0.13903612658061132,0
35,2,1,2.786116,0.630518,100.0,22.725592,0.772744,51.909645,0.0,0,0.0,0.227256,1.760948,Normal,-0.1055409929493405,0
35,2,2,2.921811,0.078764,100.0,16.760544,0.832395,56.665918,0.0,3,862.0,0.167605,4.414506,Normal,-0.07460223321938664,0
35,2,3,2.739796,0.0,100.0,8.727532,0.912725,63.078664,0.0,0,1299.0,0.087275,3.953289,Normal,-0.0759440871801258,0
35,2,4,0.0,3.241092,100.0,12.533662,0.874663,60.039115,0.0,0,0.0,0.125337,6.030497,Normal,-0.1617426238493785,0
35,2,5,4.175056,0.0,100.0,18.944458,0.810555,54.92443,0.0,0,0.0,0.189445,9.434349,Normal,-0.1115389030810851,0
35,2,6,4.869793,4.614156,100.0,23.532244,0.764678,51.283858,0.0,1,355.0,0.235322,6.511675,Normal,-0.10463188831496512,0
35,2,7,3.811124,0.0,100.0,18.400433,0.815996,55.382221,0.0,0,0.0,0.184004,8.286927,Normal,-0.12485634218887698,0
35,2,8,0.938266,0.0,100.0,14.353241,0.856468,58.587371,0.0,2,731.0,0.143532,9.902659,Normal,-0.09931750899361014,0
35,2,9,0.0,1.175063,100.0,16.108263,0.838917,57.18631,0.0,1,0.0,0.161083,1.194532,Normal,-0.1258059296753668,0
35,2,10,0.0,0.361501,100.0,12.533662,0.874663,60.039115,0.0,0,0.0,0.125337,3.679274,Normal,-0.15512337394150377,0
35,3,1,5.478133,2.123063,100.0,22.205087,0.777949,52.324406,0.0,0,0.0,0.222051,1.760948,Normal,-0.12177482127017358,0
35,3,2,6.412402,0.0,100.0,17.180028,0.8282,56.33133,1.0,2,300.0,0.1718,4.414506,Normal,-0.09468661231192932,0
