simulation_id,timestamp,node_id,failure_probability,fault_type_for_engine,fault_severity,node_health_score,battery_level,link_quality,available_neighbor_nodes,number_of_alternative_routes,alternative_route_quality,current_traffic_load,previous_recovery_history,predicted_link_quality,anomaly_score,candidate_action,target_recoverability_score,target_recovery_success
25,0,1,0.0,NORMAL,LOW,66.4248780501,100,0.032126792446234516,2,1,0.12409509433467589,43.8350733522,0,0.032126792446234516,0.058624446219464055,REROUTE,43.805240251646524,0
25,0,1,0.0,NORMAL,LOW,66.4248780501,100,0.032126792446234516,2,1,0.12409509433467589,43.8350733522,0,0.032126792446234516,0.058624446219464055,ISOLATE_NODE,9.27314718076696,0
25,0,1,0.0,NORMAL,LOW,66.4248780501,100,0.032126792446234516,2,1,0.12409509433467589,43.8350733522,0,0.032126792446234516,0.058624446219464055,RESTART_SERVICE,41.544302493135,0
25,0,1,0.0,NORMAL,LOW,66.4248780501,100,0.032126792446234516,2,1,0.12409509433467589,43.8350733522,0,0.032126792446234516,0.058624446219464055,ROLLBACK_CONFIGURATION,15.983709268793083,0
25,0,1,0.0,NORMAL,LOW,66.4248780501,100,0.032126792446234516,2,1,0.12409509433467589,43.8350733522,0,0.032126792446234516,0.058624446219464055,CONTINUE_MONITORING,67.99819261790041,0
25,0,1,0.0,NORMAL,LOW,66.4248780501,100,0.032126792446234516,2,1,0.12409509433467589,43.8350733522,0,0.032126792446234516,0.058624446219464055,NOTIFY_OPERATOR,20.113334452712618,0
25,1,1,0.0,NORMAL,LOW,65.88595657750001,100,0.03570182111539352,2,1,0.12677636583654514,44.67538179965,0,0.032126792446234516,0.03711447381970856,REROUTE,43.80077146581008,0
25,1,1,0.0,NORMAL,LOW,65.88595657750001,100,0.03570182111539352,2,1,0.12677636583654514,44.67538179965,0,0.032126792446234516,0.03711447381970856,ISOLATE_NODE,9.085227962920625,0
25,1,1,0.0,NORMAL,LOW,65.88595657750001,100,0.03570182111539352,2,1,0.12677636583654514,44.67538179965,0,0.032126792446234516,0.03711447381970856,RESTART_SERVICE,41.93112539552,0
25,1,1,0.0,NORMAL,LOW,65.88595657750001,100,0.03570182111539352,2,1,0.12677636583654514,44.67538179965,0,0.032126792446234516,0.03711447381970856,ROLLBACK_CONFIGURATION,15.392334528761811,0
