simulation_id,timestamp,node_id,failure_probability,fault_type_for_engine,fault_severity,node_health_score,battery_level,link_quality,available_neighbor_nodes,number_of_alternative_routes,alternative_route_quality,current_traffic_load,previous_recovery_history,predicted_link_quality,anomaly_score,recoverability_score,recovery_decision,recommended_recovery_action,recovery_success
25,0,1,0.0,NORMAL,LOW,66.4248780501,100,0.032126792446234516,2,1,0.12409509433467589,43.8350733522,0,0.032126792446234516,0.058624446219464055,67.99819261790041,AI Recoverable,CONTINUE_MONITORING,0
25,0,2,0.0,NORMAL,LOW,63.068987694925006,100,0.011399391269052424,2,1,0.10854954345178933,47.3176824472,0,0.011399391269052423,0.10572309263582513,66.19890442217594,AI Recoverable,CONTINUE_MONITORING,0
25,0,3,0.0,NORMAL,LOW,77.5870635201,100,0.21577397044961674,3,1,0.3118304778372125,35.88467533565,0,0.21577397044961671,0.09933150012954894,72.48993161024977,AI Recoverable,CONTINUE_MONITORING,1
25,0,4,0.5454098115065014,NORMAL,LOW,85.00000000000001,100,0.0,0,0,0.0,0.0,0,0.0,0.07805637153952028,47.45924730878445,Human Intervention Required,CONTINUE_MONITORING,0
25,0,5,0.0,NORMAL,LOW,78.83311062475,100,0.23542249044109992,3,1,0.3265668678308249,34.3631310455,0,0.2354224904410999,0.09731464178519778,73.12980866860305,AI Recoverable,CONTINUE_MONITORING,1
25,0,6,0.0,NORMAL,LOW,70.70585818745,100,0.0862604714070939,4,2,0.27332140069602984,40.5015268093,0,0.0862604714070939,0.028257866873138693,70.38136747038435,AI Recoverable,CONTINUE_MONITORING,0
25,0,7,0.5454098115065014,NORMAL,LOW,84.62175168130001,100,0.0,1,0,0.05,0.0,0,0.0,0.08068845281764969,47.39344527683121,Human Intervention Required,CONTINUE_MONITORING,0
25,0,8,0.0,NORMAL,LOW,63.45745728992501,100,0.010806227170038143,3,1,0.1581046703775286,45.658516675,0,0.010806227170038143,0.09525258568399464,66.44287217300128,AI Recoverable,CONTINUE_MONITORING,0
25,0,9,0.0,NORMAL,LOW,77.47822649575,100,0.19919023571108962,4,2,0.3693117003544262,34.631069728,0,0.19919023571108962,0.07537273578589654,72.59138867668527,AI Recoverable,CONTINUE_MONITORING,1
25,0,10,0.2895961180222485,NORMAL,LOW,84.5093983478,100,0.0,0,0,0.0,1.10385371745,0,0.0,0.07920368877499506,56.384043649846426,AI Recoverable,CONTINUE_MONITORING,0
